limite_inferior,limite_superior,cuantia_basica_pct,incremento_anual_pct
0.00,1.25,0.8000,0.00563
1.26,1.50,0.7711,0.00814
1.51,1.75,0.5888,0.01178
1.76,2.00,0.4267,0.01615
2.01,2.25,0.3765,0.01756
2.26,2.50,0.3368,0.01868
2.51,2.75,0.3048,0.01958
2.76,3.00,0.2783,0.02033
3.01,3.25,0.2560,0.02096
3.26,3.50,0.2370,0.02149
3.51,3.75,0.2207,0.02195
3.76,4.00,0.2065,0.02235
4.01,4.25,0.1939,0.02271
4.26,4.50,0.1829,0.02302
4.51,4.75,0.1730,0.02330
4.76,5.00,0.1641,0.02355
5.01,5.25,0.1561,0.02377
5.26,5.50,0.1488,0.02398
5.51,5.75,0.1422,0.02416
5.76,6.00,0.1362,0.02433
6.01,999.00,0.1300,0.02450